frame_number,timestamp,frame_status,camera_status,is_face_valid,is_face_human,head_pose_yaw,head_pose_pitch,head_pose_roll,head_pose_yaw_cal,head_pose_pitch_cal,head_pose_roll_cal,pupil_dilation_ratio,right_eye_open_perc,left_eye_open_perc,R_eye_x,R_eye_y,R_eye_z,R_eye_x_cal,R_eye_y_cal,R_eye_z_cal,R_eye_gaze_yaw,R_eye_gaze_pitch,R_eye_gaze_yaw_cal,R_eye_gaze_pitch_cal,L_eye_x,L_eye_y,L_eye_z,L_eye_x_cal,L_eye_y_cal,L_eye_z_cal,L_eye_gaze_yaw,L_eye_gaze_pitch,L_eye_gaze_yaw_cal,L_eye_gaze_pitch_cal,gaze_yaw,gaze_pitch,gaze_yaw_cal,gaze_pitch_cal,gaze_x,gaze_y,gaze_z,gaze_x_cal,gaze_y_cal,gaze_z_cal,head_coord_x,head_coord_y,head_coord_z,head_coord_x_cal,head_coord_y_cal,head_coord_z_cal,id,user_name,is_smoking,is_using_phone,is_wearing_seatbelt,has_glasses,eyes_on_road,attentiveness,drowsiness,aoi,aoi_x,aoi_y,aoi_z,Perclos,mouth_openness,left_eye_openness_in_pixels,right_eye_openness_in_pixels,eye_mode,fixation_length
1,1.57678E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.57678E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.57678E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.57678E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.57678E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.57678E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-43.29918,17.03679,-14.53741,-43.29918,17.03679,-14.53741,,,100,85.99657,-0.3909618,-9.806089,85.99657,-0.3909618,-9.806089,,,,,81.68627,-5.450772,-9.063535,81.68627,-5.450772,-9.063535,-31.09749,15.59512,-31.09749,15.59512,-31.09749,15.59512,-31.09749,15.59512,81.68627,-5.450772,-9.063535,81.68627,-5.450772,-9.063535,83.84142,-2.987873,-9.4315,83.84142,-2.987873,-9.4315,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,12.84167,36.07483,13.37681,,0,17.09528,,INVALID,
7,1.57678E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-43.76073,17.13694,-14.90073,-43.76073,17.13694,-14.90073,,100,100,86.55026,-0.4322282,-9.936693,86.55026,-0.4322282,-9.936693,,,,,82.20325,-5.477323,-9.215491,82.20325,-5.477323,-9.215491,-30.33517,15.72301,-30.33517,15.72301,-30.33517,15.72301,-30.33517,15.72301,82.20325,-5.477323,-9.215491,82.20325,-5.477323,-9.215491,84.37675,-3.021759,-9.573155,84.37675,-3.021759,-9.573155,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,12.87786,35.09027,13.39701,,0,17.02979,12.44507,INVALID,
8,1.57678E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-43.79157,17.97795,-14.49525,-43.79157,17.97795,-14.49525,,99,100,86.15324,-0.454384,-9.8305,86.15324,-0.454384,-9.8305,,,,,81.80378,-5.476909,-9.091686,81.80378,-5.476909,-9.091686,-29.83756,15.70235,-29.83756,15.70235,-29.83756,15.70235,-29.83756,15.70235,81.80378,-5.476909,-9.091686,81.80378,-5.476909,-9.091686,83.97851,-3.032712,-9.457871,83.97851,-3.032712,-9.457871,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,12.70346,34.15739,13.30327,,0,16.6026,15.40155,INVALID,
9,1.57678E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-43.51759,17.63465,-14.51315,-43.51759,17.63465,-14.51315,,99,100,85.83054,-0.4313295,-9.797672,85.83054,-0.4313295,-9.797672,,,,,81.50283,-5.455235,-9.050529,81.50283,-5.455235,-9.050529,-29.22506,15.49763,-29.22506,15.49763,-29.22506,15.49763,-29.22506,15.49763,81.50283,-5.455235,-9.050529,81.50283,-5.455235,-9.050529,83.66669,-3.010261,-9.420741,83.66669,-3.010261,-9.420741,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,12.12678,33.35757,12.99188,,0,17.10388,16.23218,INVALID,
10,1.57678E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-44.03938,18.03775,-14.46724,-44.03938,18.03775,-14.46724,,100,100,85.37682,-0.4512308,-9.755832,85.37682,-0.4512308,-9.755832,,,,,81.00778,-5.444117,-9.021814,81.00778,-5.444117,-9.021814,-28.96123,15.4835,-28.96123,15.48351,-28.96123,15.4835,-28.96123,15.48351,81.00778,-5.444117,-9.021814,81.00778,-5.444117,-9.021814,83.1923,-3.015306,-9.385657,83.1923,-3.015306,-9.385657,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,11.88672,32.80919,12.8624,,0,16.74695,15.10919,INVALID,
