frame_number,timestamp,frame_status,camera_status,is_face_valid,is_face_human,head_pose_yaw,head_pose_pitch,head_pose_roll,head_pose_yaw_cal,head_pose_pitch_cal,head_pose_roll_cal,pupil_dilation_ratio,right_eye_open_perc,left_eye_open_perc,R_eye_x,R_eye_y,R_eye_z,R_eye_x_cal,R_eye_y_cal,R_eye_z_cal,R_eye_gaze_yaw,R_eye_gaze_pitch,R_eye_gaze_yaw_cal,R_eye_gaze_pitch_cal,L_eye_x,L_eye_y,L_eye_z,L_eye_x_cal,L_eye_y_cal,L_eye_z_cal,L_eye_gaze_yaw,L_eye_gaze_pitch,L_eye_gaze_yaw_cal,L_eye_gaze_pitch_cal,gaze_yaw,gaze_pitch,gaze_yaw_cal,gaze_pitch_cal,gaze_x,gaze_y,gaze_z,gaze_x_cal,gaze_y_cal,gaze_z_cal,head_coord_x,head_coord_y,head_coord_z,head_coord_x_cal,head_coord_y_cal,head_coord_z_cal,id,user_name,is_smoking,is_using_phone,is_wearing_seatbelt,has_glasses,eyes_on_road,attentiveness,drowsiness,aoi,aoi_x,aoi_y,aoi_z,Perclos,mouth_openness,left_eye_openness_in_pixels,right_eye_openness_in_pixels,eye_mode,fixation_length
1,1.57686E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.57686E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.57686E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.57686E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.57686E+12,PROCESSED,WORKING,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-30.01971,30.72858,-10.51556,-30.01971,30.72858,-10.51556,,0,100,75.26907,5.34267,-2.383466,75.26907,5.34267,-2.383466,,,,,72.12469,-0.5074534,-2.670055,72.12469,-0.5074534,-2.670055,-38.13885,14.03226,-38.13884,14.03226,-38.13885,14.03226,-38.13884,14.03226,72.12469,-0.5074534,-2.670055,72.12469,-0.5074534,-2.670055,73.69688,2.35628,-2.530969,73.69688,2.35628,-2.530969,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,16.09786,43.48457,15.13321,,0,16.08209,0,INVALID,
7,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-31.14567,32.26172,-10.91686,-31.14567,32.26172,-10.91686,,0,98,75.08305,5.149816,-2.500417,75.08305,5.149816,-2.500417,,,,,71.83235,-0.6246543,-2.848261,71.83235,-0.6246543,-2.848261,-37.26313,15.33981,-37.26313,15.33981,-37.26313,15.33981,-37.26313,15.33981,71.83235,-0.6246543,-2.848261,71.83235,-0.6246543,-2.848261,73.4577,2.199772,-2.679497,73.4577,2.199772,-2.679497,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,17.48368,40.7227,15.88449,,0,15.32098,0,INVALID,
8,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-30.24393,31.20974,-9.771537,-30.24393,31.20974,-9.771537,,0,99,76.59897,5.290239,-2.439278,76.59897,5.290239,-2.439278,,,,,73.43332,-0.5164359,-2.744795,73.43332,-0.5164359,-2.744795,-36.66951,16.02911,-36.66951,16.02911,-36.66951,16.02911,-36.66951,16.02911,73.43332,-0.5164359,-2.744795,73.43332,-0.5164359,-2.744795,75.01614,2.326678,-2.596414,75.01614,2.326678,-2.596414,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,19.05245,39.97281,16.73344,,0,15.96002,0,INVALID,
9,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-33.4565,31.73188,-10.62349,-33.4565,31.73188,-10.62349,,0,98,75.10241,5.157566,-2.458107,75.10241,5.157566,-2.458107,,,,,71.63746,-0.6086883,-2.797891,71.63746,-0.6086883,-2.797891,-36.11079,16.672,-36.11078,16.672,-36.11079,16.672,-36.11078,16.672,71.63746,-0.6086883,-2.797891,71.63746,-0.6086883,-2.797891,73.36993,2.207589,-2.633479,73.36993,2.207589,-2.633479,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,19.00924,37.78365,16.71146,,0,15.42511,0,INVALID,
10,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-32.78917,31.36963,-10.39796,-32.78917,31.36963,-10.39796,,0,98,75.35533,5.116844,-2.434758,75.35533,5.116844,-2.434758,,,,,71.95169,-0.6254227,-2.762054,71.95169,-0.6254227,-2.762054,-36.0364,17.67761,-36.0364,17.67761,-36.0364,17.67761,-36.0364,17.67761,71.95169,-0.6254227,-2.762054,71.95169,-0.6254227,-2.762054,73.65351,2.180537,-2.603579,73.65351,2.180537,-2.603579,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,5,20.49809,36.80777,17.51732,,0,15.70074,0,INVALID,
11,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-32.63302,31.17121,-10.14961,-32.63302,31.17121,-10.14961,,0,99,75.45181,5.128316,-2.423667,75.45181,5.128316,-2.423667,,,,,72.06258,-0.6482801,-2.768344,72.06258,-0.6482801,-2.768344,-36.30146,18.59438,-36.30146,18.59438,-36.30146,18.59438,-36.30146,18.59438,72.06258,-0.6482801,-2.768344,72.06258,-0.6482801,-2.768344,73.75719,2.174804,-2.601338,73.75719,2.174804,-2.601338,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,2,31.81111,28.92095,14.03461,,0,15.77692,0,SACCADE,
12,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-32.19567,31.51101,-10.01807,-32.19567,31.51101,-10.01807,,0,99,75.27862,5.102985,-2.428525,75.27862,5.102985,-2.428525,,,,,71.92989,-0.6550592,-2.75739,71.92989,-0.6550592,-2.75739,-36.17948,18.76138,-36.17948,18.76138,-36.17948,18.76138,-36.17948,18.76138,71.92989,-0.6550592,-2.75739,71.92989,-0.6550592,-2.75739,73.60426,2.159588,-2.598042,73.60426,2.159588,-2.598042,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,2,31.76443,28.71953,14.14513,,0,15.72955,0,SACCADE,
13,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-32.4515,31.86497,-10.22252,-32.4515,31.86497,-10.22252,,0,99,74.61005,5.158506,-2.418464,74.61005,5.158506,-2.418464,,,,,71.23762,-0.6150025,-2.739908,71.23762,-0.6150025,-2.739908,-36.09156,19.08147,-36.09156,19.08147,-36.09156,19.08147,-36.09156,19.08147,71.23762,-0.6150025,-2.739908,71.23762,-0.6150025,-2.739908,72.92384,2.206181,-2.584283,72.92384,2.206181,-2.584283,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,2,31.64948,28.24424,14.20686,,0,15.28613,0,SACCADE,
14,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-31.49823,31.29443,-9.613845,-31.49823,31.29443,-9.613845,,0,99,74.75462,5.244079,-2.32268,74.75462,5.244079,-2.32268,,,,,71.47089,-0.5609563,-2.688492,71.47089,-0.5609563,-2.688492,-36.24023,19.07214,-36.24023,19.07214,-36.24023,19.07214,-36.24023,19.07214,71.47089,-0.5609563,-2.688492,71.47089,-0.5609563,-2.688492,73.11275,2.277527,-2.510959,73.11275,2.277527,-2.510959,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,2,31.73178,28.56655,14.34621,,0,15.14355,0,SACCADE,
15,1.57686E+12,PROCESSED,WORKING,TRUE,UNKNOWN,-31.83579,31.47354,-10.21703,-31.83579,31.47354,-10.21703,,0,99,74.64246,5.175208,-2.346954,74.64246,5.175208,-2.346954,,,,,71.32722,-0.609998,-2.724904,71.32722,-0.609998,-2.724904,-36.84203,19.56778,-36.84203,19.56778,-36.84203,19.56778,-36.84203,19.56778,71.32722,-0.609998,-2.724904,71.32722,-0.609998,-2.724904,72.98484,2.218053,-2.541533,72.98484,2.218053,-2.541533,,,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,ATTENTIVE,INVALID,2,31.84265,28.97343,14.81221,,0,15.10876,0,SACCADE,
